"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES",0.0006000600060006,0.72425182664398,0.412582436098783,1.65775543950311,5,87,"PCDHGA10;PCDHGB2;PCDHGA7;BMP2;PCDHB3;PCDHGB6;SLITRK3;PCDHGA5;PCDHGA1;PTPRR;PCDHA3;PCDHB11;PCDHA4;TGFB2;PCDH8;PCDHGB7;TENM3;PCDHGC4;PTPRT;ROBO2;CLSTN2;IL1RN;PCDHA6;PCDHA11;PCDHGB4;UNC5D;HMCN2;PCDHGA9;PCDHGA3;PCDHGB1;CDH1;PCDHB5;CDH19;NTNG1;PCDHB4;CDH7;CDH20;PCDHA2;RET;ICAM1;LRFN5;PCDH15;GRID2;CADM3;SELL;CDHR1;CDH22;MBP;CLDN10;PCDHB2;PCDHGA11;KIRREL3"
"GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES",0.000900810729656691,0.72425182664398,0.444456592025736,1.72697405165597,8,62,"PCDHGA10;PCDHGB2;PCDHGA7;PCDHB3;PCDHGB6;PCDHGA5;PCDHGA1;PTPRR;PCDHA3;PCDHB11;PCDHA4;PCDH8;PCDHGB7;TENM3;PCDHGC4;PTPRT;ROBO2;CLSTN2;PCDHA6;PCDHA11;PCDHGB4;HMCN2;PCDHGA9;PCDHGA3;PCDHGB1;CDH1;PCDHB5;CDH19;PCDHB4;CDH7;CDH20;PCDHA2;RET;PCDH15"
"GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM",0.00142261965247434,0.7388951291739,0.499331429362581,1.77720927331597,13,32,"TFAP2A;TRIM71;OSR1;SIX1;SFRP2;ST14;SULF1;AR;TGFB2;PCDH8;GRHL3;GDNF"
"GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE",0.0018380475850097,0.7388951291739,0.512317318252576,1.8030590297362,17,30,"TFAP2A;RPE65;HPCA;NR2E1;USH1C;RORB;LAMA1;FOS;TGFB2;CYP1B1;SLC17A8"
"GOBP_CRANIAL_NERVE_DEVELOPMENT",0.00327313769751693,0.751886488229603,0.655156379843413,1.84543364719057,28,11,"TFAP2A;HOXD3;EGR2;SIX1"
"GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS",0.00288492360294903,0.751886488229603,0.583012125102094,1.83326355363443,26,17,"TFAP2A;HOXD3;OSR1;HOXC4;SIX1"
"GOBP_REGULATION_OF_AXON_EXTENSION",0.0031104199066874,0.751886488229603,-0.460320618780616,-2.24134912754717,1,17,"FN1;TNR;SLIT1;KIAA0319;TNFRSF12A;RTN4R;OLFM1;MAG;MT3;SEMA3A;L1CAM;BCL11A;DSCAM;DRAXIN;ISLR2;VEGFA"
"GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION",0.00433718861209964,0.871774911032028,0.626448218295028,1.80894356889019,38,12,"VEPH1;BMP2;TTK;GDF15;FOS;TGFB2"
"GOBP_ANIMAL_ORGAN_FORMATION",0.00849395622345639,0.963762102351314,0.580181069268365,1.74446365016367,77,14,"BMP2;SIX1;SULF1;AR;EYA1;GDNF;ROBO2"
"GOBP_EPITHELIAL_TUBE_MORPHOGENESIS",0.00830997196635963,0.963762102351314,0.399035258749285,1.5442707403475,82,59,"TRIM71;OSR1;BMP2;SIX1;CSMD1;SEMA3E;SFRP2;ST14;LAMA1;AR;EYA1;TGFB2;GRHL3;APLNR;GDNF;HS3ST3B1;IRX1;GREB1L;SLIT2;HES5;CXCL10"
"GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM",0.0071,0.963762102351314,0.36499555789751,1.4786952530255,70,95,"TFAP2A;TRIM71;OSR1;BMP2;SIX1;CSMD1;SEMA3E;FERMT1;SFRP2;ST14;SULF1;LAMA1;AR;EYA1;TGFB2;PCDH8;GRHL3;APLNR;CA9;GDNF;FREM2;AJAP1;HS3ST3B1;HGF;IRX1;GREB1L;SLIT2;HES5;CXCL10;JHY;SOX11;CAMSAP3"
"GOBP_ODONTOGENESIS",0.0102008951805975,0.963762102351314,0.502285603142106,1.66916951992597,97,22,"TFAP2A;OSR1;BMP2;AQP1;TNFRSF11B;TGFB2"
"GOBP_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT",0.00778781038374718,0.963762102351314,0.615093020344173,1.73258383924539,68,11,"TFAP2A;OSR1;BMP2"
"GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION",0.00778781038374718,0.963762102351314,0.615093020344173,1.73258383924539,68,11,"TFAP2A;OSR1;BMP2"
"GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH",0.010126582278481,0.963762102351314,-0.344222083906315,-1.8959016322534,3,22,"FN1;TNR;SLIT1;KIAA0319;DCC;TNFRSF12A;RTN4R;OLFM1;MAG;MT3;FGF13;SEMA3A;L1CAM;BCL11A;FSTL4;DSCAM;DRAXIN;ISLR2;VEGFA"
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY",0.0107883817427386,0.963762102351314,0.49615118805938,1.66560968238684,103,23,"VEPH1;BMP2;GDF10;FERMT1;GDF15;FOS;TGFB2;ONECUT2;SLC2A10;SOX11;THBS1;MSTN"
"GOBP_VESICLE_LOCALIZATION",0.0100671140939597,0.963762102351314,-0.32,-1.83172731163558,2,25,"NRXN1;KIF5A;UNC13A;SYN1;SDC1;BSN;CADPS;BAIAP3;SYN3;BRSK2;SDC4;SMPD3;PCLO;RAB3A;SYT4;ITGA4;SNAP25;STXBP1;SNCA;UNC13C;SYN2;PPFIA2;DNM1;DYNC1I1;MX2"
"GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY",0.00788091068301226,0.963762102351314,-0.493715434891906,-1.97030697121585,8,11,"CELSR3;GPC3;CTHRC1;CELSR1;NKD1;PLEKHA4;FZD7;SFRP1;WNT7B;RSPO3;DKK1"
"GOBP_ADAPTIVE_THERMOGENESIS",0.0445560423122128,0.985405853360666,0.483796074422876,1.52128175803471,416,17,"TSHR;OXTR;DIO2;CD36;ADCYAP1"
"GOBP_AMINE_METABOLIC_PROCESS",0.031413612565445,0.985405853360666,0.499446618691342,1.57049440931001,293,17,"INMT;TRH;TDO2;TGFB2;INSM1;SLC22A3"
"GOBP_AORTA_DEVELOPMENT",0.0335903083700441,0.985405853360666,0.53241109415475,1.56960268293784,304,13,"EGR2;SIX1;EYA1;TGFB2;APLNR;ROBO2"
"GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT",0.02319309600863,0.985405853360666,0.530735196855898,1.62418589601252,214,15,"TFAP2A;EGR2;SIX1;INSM1;GDNF"
"GOBP_AXON_EXTENSION",0.0350109409190372,0.985405853360666,-0.307775187305791,-1.63008942159474,15,20,"FN1;EDN3;TNR;SLIT1;KIAA0319;TNFRSF12A;RTN4R;OLFM1;MAG;MT3;SEMA3A;L1CAM;BCL11A;DSCAM;DRAXIN;ISLR2;VEGFA"
"GOBP_BODY_FLUID_SECRETION",0.0314994606256742,0.985405853360666,0.513999178103054,1.57296938394624,291,15,"MTCO2P12;OXTR;AQP1;SOCS2;CHRM3;TP73;NEURL1;ERBB4"
"GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE",0.0467990275526742,0.985405853360666,0.404052875280916,1.45798597275139,461,35,"BMP2;SIX1;CSMD1;SEMA3E;SFRP2;LAMA1;AR;EYA1;GDNF;HS3ST3B1;GREB1L;SLIT2"
"GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES",0.054172454322043,0.985405853360666,0.474073689801252,1.49071002099216,506,17,"PCDHB3;PCDHB11;PCDHGB4;CDH1;PCDHB5;CDH19;PCDHB4;CDH7;CDH20;SELL;CDH22;PCDHB2"
