"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_ANIMAL_ORGAN_FORMATION",0.0182099106058934,0.658886776371861,0.532562644970648,1.6656411235251,164,14,"BMP2;SIX1;SULF1;EYA1;ROBO2;AR"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",0.0179327244375139,0.658886776371861,0.548099042907959,1.68070552487299,160,13,"HLA-DQA2;FCGR2B;HLA-DQB1;HLA-DQB2;HLA-DPB1;CD74;HLA-DOA;HLA-DRB1"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",0.0179327244375139,0.658886776371861,0.548099042907959,1.68070552487299,160,13,"HLA-DQA2;FCGR2B;HLA-DQB1;HLA-DQB2;HLA-DPB1;CD74;HLA-DOA;HLA-DRB1"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II",0.00787047447717562,0.658886776371861,0.592786149336686,1.77849820987386,69,12,"HLA-DQA2;FCGR2B;HLA-DQB1;HLA-DQB2;HLA-DPB1;CD74;HLA-DOA;HLA-DRB1"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0.0121407885943417,0.658886776371861,0.56320194739581,1.72701747404132,108,13,"HLA-DQA2;FCGR2B;HLA-DQB1;HLA-DQB2;HLA-DPB1;CD74;HLA-DOA;HLA-DRB1"
"GOBP_AORTA_DEVELOPMENT",0.0151481398975273,0.658886776371861,0.55409528207274,1.69909255258834,135,13,"EGR2;SIX1;EYA1;ROBO2;APLNR;COL3A1;TGFB2"
"GOBP_BODY_FLUID_SECRETION",0.00284121953884821,0.658886776371861,0.594168308283224,1.89350084518601,25,15,"OXTR;MTCO2P12;AQP1;SOCS2;VDR;NEURL1;CHRM3;ERBB4"
"GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS",0.0105105105105105,0.658886776371861,0.364379855410844,1.53277373128166,104,70,"FOS;GLP1R;TSHR;SSTR2;NR0B1;NR2E1;OXTR;AQP1;TRH;CYP27B1;CCNA2;SOCS2;ROBO2;VDR;AR;ZFP36;ASS1;RAMP3;GDF15;GPR22;RARRES2;JAK3;SST;NPPA;SOX10;SSTR1;ADRA2A;CYP7B1;ETNPPL;SLIT2;ZNF536;GREB1L"
"GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS",0.0121226250145705,0.658886776371861,0.607615346181405,1.72236951480444,103,10,"AQP1;MMP9;GPR88;MME;AURKB;SLC24A4;RGR"
"GOBP_CELLULAR_RESPONSE_TO_RADIATION",0.00928860233854224,0.658886776371861,0.54743779368636,1.74457962597658,84,15,"AQP1;MMP9;GPR88;MME;AURKB;SLC24A4;SFRP2;RGR;EGR1;TNF"
